,name,uri,popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
0,Recency Bias,spotify:track:4sKZlRkHsoovZB9M3XbP1u,35,2023-03-10,0.672,0.072,2,-13.406,1,0.0413,0.96,0.000689,0.12,0.369,71.899,4sKZlRkHsoovZB9M3XbP1u,190187,4
1,people pleaser,spotify:track:3UEOT0hD60yGB1OMWJxLQ8,73,2022-10-07,0.692,0.758,3,-3.453,0,0.0522,0.158,0.0,0.0774,0.701,94.058,3UEOT0hD60yGB1OMWJxLQ8,146654,4
2,I know it won't work,spotify:track:5FGDtm3MXJe8LikBkOJnOQ,73,2023-02-24,0.653,0.575,5,-8.95,0,0.0594,0.537,7.9e-05,0.121,0.409,119.888,5FGDtm3MXJe8LikBkOJnOQ,245629,4
3,Vanilla,spotify:track:21lfQ6cXJF15ubyPLB6qHz,51,2017-03-31,0.633,0.761,11,-7.097,1,0.034,0.0502,0.00114,0.638,0.801,96.061,21lfQ6cXJF15ubyPLB6qHz,248438,4
4,If You Want Me Tonight,spotify:track:17YdABkVGTOe5f3JQBRAAy,49,2023-03-01,0.417,0.487,1,-6.128,0,0.0367,0.272,0.0,0.235,0.327,112.338,17YdABkVGTOe5f3JQBRAAy,239499,4
5,Lonesome & Mad,spotify:track:0eeUxgcLK8vVsk6z3eQ6u2,61,2022-12-08,0.281,0.479,4,-7.057,1,0.032,0.0965,0.000167,0.125,0.249,111.868,0eeUxgcLK8vVsk6z3eQ6u2,237285,4
6,Doses & Mimosas,spotify:track:44CZRkOxv7UItaAUmh8PgN,67,2014,0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,44CZRkOxv7UItaAUmh8PgN,323253,4
7,that was then,spotify:track:62uEGaaGYd4d7oWLIh3wC2,47,2021-02-26,0.665,0.508,1,-8.951,1,0.0535,0.654,3.3e-06,0.159,0.32,77.991,62uEGaaGYd4d7oWLIh3wC2,174221,4
8,"Good, but not together",spotify:track:6YiR17DGpJa5r4X7RjwCwW,55,2023-03-02,0.496,0.493,5,-9.22,1,0.0325,0.846,2.1e-06,0.118,0.646,169.993,6YiR17DGpJa5r4X7RjwCwW,183365,4
9,paper,spotify:track:0r3sjyiC4jE179QJHG9geQ,59,2023-01-13,0.603,0.335,1,-9.694,1,0.0731,0.7,4.58e-05,0.0987,0.192,78.988,0r3sjyiC4jE179QJHG9geQ,167676,4
10,Monsters - Acoustic,spotify:track:5Flax8SUYh7MK7I55RBYkS,48,2020-06-26,0.709,0.198,3,-8.81,1,0.0362,0.903,0.0,0.148,0.292,128.318,5Flax8SUYh7MK7I55RBYkS,262020,3
11,Sweet Disposition,spotify:track:5RoIXwyTCdyUjpMMkk4uPd,64,2009-03-24,0.531,0.821,2,-6.812,1,0.0439,0.0701,0.171,0.124,0.34,129.139,5RoIXwyTCdyUjpMMkk4uPd,230800,4
12,Lookaround,spotify:track:5GAakmWgae7nhYLLBujtLl,45,2023-01-28,0.331,0.498,4,-7.419,1,0.0365,0.63,0.000409,0.111,0.339,121.03,5GAakmWgae7nhYLLBujtLl,277869,3
13,CHRONICALLY CAUTIOUS,spotify:track:73ZWAySu4UX5LkpCM6zjYh,74,2023-02-24,0.698,0.581,1,-4.33,1,0.155,0.262,0.0,0.166,0.865,139.89,73ZWAySu4UX5LkpCM6zjYh,119571,4
14,The Adults Are Talking,spotify:track:5ruzrDWcT0vuJIOMW7gMnW,77,2020-04-10,0.593,0.749,5,-5.67,1,0.0475,0.0113,0.106,0.314,0.649,164.959,5ruzrDWcT0vuJIOMW7gMnW,309053,4
15,What If I Still Miss You?,spotify:track:34h9Wr114K0EjlFsjITrMW,45,2023-02-24,0.554,0.372,5,-8.441,1,0.0285,0.768,0.0,0.33,0.408,147.989,34h9Wr114K0EjlFsjITrMW,198912,4
16,Shut Me Up,spotify:track:1XuushYZmiAuKpPYTj7p3v,67,2023-02-24,0.623,0.641,10,-3.987,1,0.0462,0.0841,1.09e-06,0.06,0.735,185.888,1XuushYZmiAuKpPYTj7p3v,140710,4
